,id,brand,car_type,car_model,problem_desc,problem_dict,complain_time,status
0,486972,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘出现脱皮现象,"H168,",2020-06-22,处理反馈
1,486966,上汽大众,途岳,2019款 280TSI 两驱 豪华版 国VI,上汽大众途岳韩泰轮胎开裂现象严重,"F100,",2020-06-22,信息审核
2,486948,一汽-大众,CC,2018款 1.8TSI 豪华型,一汽大众CC反光镜自动收回行车雷达故障,"H68,H82,H170,H211,I295,J298,M284,",2020-06-22,处理反馈
3,486947,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来刹车异响维修未解决问题,"E43,",2020-06-22,处理反馈
4,486918,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机故障灯亮4S店无法解决,"A34,I295,J298,",2020-06-22,信息审核
5,486914,一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国VI,一汽大众宝来行驶过程中发动机自动熄火,"A14,",2020-06-22,处理反馈
6,486904,上汽大众,途观,2016款 300TSI 自动 四驱 风尚视野版,上汽大众途观低速转弯时异响希望处理,"D59,",2020-06-22,信息审核
7,486900,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳车灯漏水 发动机异响,"A9,H82,",2020-06-22,信息审核
8,486859,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾车漆多处腐蚀4S店拒绝处理,"H81,I292,",2020-06-22,处理反馈
9,486852,上汽大众,途安,2011款 1.4TSI DSG 智雅版 5座,上汽大众途安变速箱顿挫厂家否认质量问题,"B19,I292,",2020-06-22,信息审核
10,486836,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯透镜发白 车灯亮度低,"H82,",2020-06-22,处理反馈
11,486817,一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,一汽大众高尔夫主驾侧车门接触开关损坏,"H234,",2020-06-22,处理反馈
12,486798,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱降挡是异响严重,"B33,",2020-06-21,处理反馈
13,486792,一汽-大众,迈腾,2015款 1.8TSI 豪华型,一汽大众迈腾变速箱机电控制单元损坏,"B84,",2020-06-21,处理反馈
14,486778,一汽-大众,迈腾,2015款 1.8TSI 豪华型,一汽大众迈腾车内存在刺鼻的异味,"H185,",2020-06-21,处理反馈
15,486738,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸副驾驶门锁不住刹车异响,"E43,H197,",2020-06-21,信息审核
16,486706,上汽大众,桑塔纳,2017款 1.6L 手动 风尚型 Cross,上汽大众桑塔纳韩泰轮胎开裂半轴球笼漏油,"F100,G56,G161,",2020-06-21,信息审核
17,486699,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳大灯亮度严重不足影响安全,"H82,",2020-06-21,处理反馈
18,486690,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L车辆无法启动要求厂家处理,"B22,E74,E62,I295,",2020-06-21,信息审核
19,486672,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸车内异响服务态度恶劣,"H164,",2020-06-21,信息审核
20,486631,一汽-大众,宝来,2019款 1.5L 自动 精英型,一汽大众宝来电池电量不足自动启停无法激活,"H146,",2020-06-21,处理反馈
21,486619,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸车内异味严重4S店不给解决,"H185,",2020-06-21,信息审核
22,486597,上汽大众,Polo,2016款 1.6L 自动 豪华型,上汽大众Polo轮胎偏磨4S店私自维修无单据,"F10,I295,I293,J298,O305,O324,",2020-06-21,信息审核
23,486584,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯模糊 影响照明,"H82,",2020-06-21,处理反馈
24,486561,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸熄火后转向系统故障灯亮,"D291,",2020-06-21,信息审核
25,486539,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎开裂希望更换,"F100,",2020-06-20,信息审核
26,486521,一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国V,一汽大众宝来仪表盘罩开裂4S店不给保修,"H168,I297,",2020-06-20,处理反馈
27,486510,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱顿挫 厂家不回复,"B19,I294,",2020-06-20,处理反馈
28,486509,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国V,一汽大众探岳两前大灯透镜发白4S店不处理,"H82,I295,",2020-06-20,处理反馈
29,486505,上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸轮胎胎面开裂厂家不予解决,"F100,I295,I297,",2020-06-20,信息审核
30,486972,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘出现脱皮现象,"H168,",2020-06-22,处理反馈
31,486966,上汽大众,途岳,2019款 280TSI 两驱 豪华版 国VI,上汽大众途岳韩泰轮胎开裂现象严重,"F100,",2020-06-22,信息审核
32,486948,一汽-大众,CC,2018款 1.8TSI 豪华型,一汽大众CC反光镜自动收回行车雷达故障,"H68,H82,H170,H211,I295,J298,M284,",2020-06-22,处理反馈
33,486947,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来刹车异响维修未解决问题,"E43,",2020-06-22,处理反馈
34,486918,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机故障灯亮4S店无法解决,"A34,I295,J298,",2020-06-22,信息审核
35,486914,一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国VI,一汽大众宝来行驶过程中发动机自动熄火,"A14,",2020-06-22,处理反馈
36,486904,上汽大众,途观,2016款 300TSI 自动 四驱 风尚视野版,上汽大众途观低速转弯时异响希望处理,"D59,",2020-06-22,信息审核
37,486900,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳车灯漏水 发动机异响,"A9,H82,",2020-06-22,信息审核
38,486859,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾车漆多处腐蚀4S店拒绝处理,"H81,I292,",2020-06-22,处理反馈
39,486852,上汽大众,途安,2011款 1.4TSI DSG 智雅版 5座,上汽大众途安变速箱顿挫厂家否认质量问题,"B19,I292,",2020-06-22,信息审核
40,486836,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯透镜发白 车灯亮度低,"H82,",2020-06-22,处理反馈
41,486817,一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,一汽大众高尔夫主驾侧车门接触开关损坏,"H234,",2020-06-22,处理反馈
42,486798,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱降挡是异响严重,"B33,",2020-06-21,处理反馈
43,486792,一汽-大众,迈腾,2015款 1.8TSI 豪华型,一汽大众迈腾变速箱机电控制单元损坏,"B84,",2020-06-21,处理反馈
44,486778,一汽-大众,迈腾,2015款 1.8TSI 豪华型,一汽大众迈腾车内存在刺鼻的异味,"H185,",2020-06-21,处理反馈
45,486738,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸副驾驶门锁不住刹车异响,"E43,H197,",2020-06-21,信息审核
46,486706,上汽大众,桑塔纳,2017款 1.6L 手动 风尚型 Cross,上汽大众桑塔纳韩泰轮胎开裂半轴球笼漏油,"F100,G56,G161,",2020-06-21,信息审核
47,486699,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳大灯亮度严重不足影响安全,"H82,",2020-06-21,处理反馈
48,486690,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L车辆无法启动要求厂家处理,"B22,E74,E62,I295,",2020-06-21,信息审核
49,486672,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸车内异响服务态度恶劣,"H164,",2020-06-21,信息审核
50,486631,一汽-大众,宝来,2019款 1.5L 自动 精英型,一汽大众宝来电池电量不足自动启停无法激活,"H146,",2020-06-21,处理反馈
51,486619,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸车内异味严重4S店不给解决,"H185,",2020-06-21,信息审核
52,486597,上汽大众,Polo,2016款 1.6L 自动 豪华型,上汽大众Polo轮胎偏磨4S店私自维修无单据,"F10,I295,I293,J298,O305,O324,",2020-06-21,信息审核
53,486584,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯模糊 影响照明,"H82,",2020-06-21,处理反馈
54,486561,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸熄火后转向系统故障灯亮,"D291,",2020-06-21,信息审核
55,486539,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎开裂希望更换,"F100,",2020-06-20,信息审核
56,486521,一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国V,一汽大众宝来仪表盘罩开裂4S店不给保修,"H168,I297,",2020-06-20,处理反馈
57,486510,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱顿挫 厂家不回复,"B19,I294,",2020-06-20,处理反馈
58,486509,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国V,一汽大众探岳两前大灯透镜发白4S店不处理,"H82,I295,",2020-06-20,处理反馈
59,486505,上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸轮胎胎面开裂厂家不予解决,"F100,I295,I297,",2020-06-20,信息审核
60,486442,上汽大众,途观,2012款 1.4TSI 手动 两驱 都会版,上汽大众途观4S店用外采件充当原装配件,"N319,",2020-06-20,信息审核
61,486423,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸半轴油封漏油要求免费更换,"G51,",2020-06-20,信息审核
62,486414,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮希望尽快处理,"H82,",2020-06-20,处理反馈
63,486409,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国V,一汽大众探岳大灯照明度不足 灯泡出现雾化,"H82,",2020-06-20,处理反馈
64,486396,一汽-大众,宝来,2014款 1.6L 自动 时尚型,一汽大众宝来车内进水4S店找不到原因,"H109,",2020-06-20,处理反馈
65,486388,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机故障灯多次报警,"A34,",2020-06-20,处理反馈
66,486339,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸刹车异响 变速箱异响,"B33,E43,",2020-06-20,信息审核
67,486336,上汽大众,朗逸,2018款 280TSI DSG豪华版 两厢 国V,上汽大众朗逸轮毂氧化售后不予质保,"H243,",2020-06-20,信息审核
68,486335,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国VI,一汽大众探岳大灯亮度不够透镜上有指纹,"H82,H60,",2020-06-20,处理反馈
69,486329,一汽-大众,速腾,2019款 200TSI 手动 舒适型 国VI,一汽大众速腾一挡起步时转速自动升高,"A35,",2020-06-20,处理反馈
70,486321,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L车身共振影响驾驶安全,"H268,",2020-06-20,信息审核
71,486311,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱报警 挡位缺失,"B19,B96,B84,",2020-06-20,处理反馈
72,486298,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾顶棚鼓包 大灯进雾 刹车盘生锈,"E42,H168,H88,",2020-06-20,处理反馈
73,486266,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响严重,"B33,",2020-06-20,处理反馈
74,486260,上汽大众,凌渡,2017款 230TSI 手动 风尚版,上汽大众凌渡一键升降失灵销售不管售后问题,"H67,I295,",2020-06-20,信息审核
75,486254,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机存在金属撞击声,"A9,",2020-06-20,信息审核
76,486251,一汽-大众,宝来,2019款 1.5L 手动 舒适型,一汽大众宝来发动机故障灯亮 离合器异响,"A34,C65,",2020-06-20,用户评分
77,486244,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜出现白雾水珠亮度不够,"H82,",2020-06-20,用户评分
78,486242,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白内障模糊不清存在隐患,"H82,",2020-06-19,处理反馈
79,486241,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L左后轮偏磨吃胎 四缸漏油,"A12,G245,",2020-06-19,信息审核
80,486233,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾低速加速时变速箱存在口哨声,"B33,",2020-06-19,处理反馈
81,486227,一汽-大众,高尔夫・嘉旅,2016款 1.6L 自动 舒适型,一汽大众高尔夫嘉旅变速箱故障灯亮,"B96,",2020-06-19,处理反馈
82,486221,上汽大众,朗逸,2013款 1.6L 自动 经典风尚版,上汽大众朗逸车内异味严重无法解决,"H185,",2020-06-19,信息审核
83,486220,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳车灯进水干燥后有水印,"H88,",2020-06-19,处理反馈
84,486200,一汽-大众,宝来,2019款 1.5L 自动 舒适型,一汽大众宝来行驶中有晃动跳动现象,"G162,",2020-06-19,用户评分
85,486194,一汽-大众,速腾,2014款 1.4TSI 自动 时尚型,一汽大众速腾前挡风玻璃自然开裂,"H113,",2020-06-19,处理反馈
86,486186,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸前挡风玻璃无故开裂,"H113,",2020-06-19,信息审核
87,486185,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯里面有雾气不予解决,"H88,",2020-06-19,处理反馈
88,486173,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾怠速时发动机偶尔抖动,"A24,",2020-06-19,处理反馈
89,486149,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱异响燃油泵声音大,"B33,H78,",2020-06-19,处理反馈
90,486146,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸刹车时前轮位置存在异响,"E43,",2020-06-19,信息审核
91,486135,上汽大众,途安,2018款 途安L 280TSI DSG 舒适版 7座 国VI,上汽大众途安启停失灵自动驻车失灵故障灯亮,"E159,H170,",2020-06-19,信息审核
92,486125,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳中控死机 赠送保养承诺不兑现,"H134,I295,L313,N317,",2020-06-19,处理反馈
93,486122,一汽-大众,宝来,2019款 改款 1.5L 手动 舒适型 国VI,一汽大众宝来天窗密封条损坏希望保修,"H48,",2020-06-19,处理反馈
94,486051,大众（进口）,高尔夫（进口）,2011款 1.4TSI DSG Cross Golf,进口大众高尔夫水泵故障水温过高且无报警,"A191,A221,",2020-06-19,信息审核
95,486049,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘磨损脱皮存在质量问题,"H157,",2020-06-19,用户评分
96,486037,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响,"B33,",2020-06-19,处理反馈
97,486034,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,大众途观L行驶中提示变速箱进入紧急状态,"B96,B84,B77,",2020-06-19,信息审核
98,486029,上汽大众,朗逸,2019款 朗逸启航 1.5L 手动 舒适版 国VI,上汽大众朗逸刹车异响4S店告知正常,"E43,",2020-06-19,信息审核
99,486027,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾发动机异响 刹车踏板震动,"A9,D80,E111,",2020-06-19,处理反馈
100,486013,一汽-大众,高尔夫,2018款 230TSI 自动 舒适型,一汽大众高尔夫发动机运转时高压油泵异响,"A9,",2020-06-19,处理反馈
101,486008,一汽-大众,宝来,2019款 1.5L 自动 时尚型,一汽大众宝来大灯进水胎压误报自动驻车故障,"H88,H170,H203,",2020-06-19,处理反馈
102,485994,一汽-大众,速腾,2013款 2.0TSI GLI,一汽大众速腾发动机和变速箱漏油,"A12,B22,",2020-06-19,处理反馈
103,485953,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎开裂并且鼓包,"F100,F39,",2020-06-19,处理反馈
104,485942,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L天窗排水堵塞导致车内进水,"H90,",2020-06-19,信息审核
105,485930,上汽大众,途观L,2019款 改款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L变速箱异响 转向时车轮异响,"B33,G125,",2020-06-19,处理反馈
106,485923,上汽大众,朗逸,2017款 230TSI 双离合 舒适版,上汽大众朗逸变速箱跳挡 发动机空转,"B27,",2020-06-19,用户评分
107,485917,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾上坡辅助系统故障导致溜车,"H170,",2020-06-19,处理反馈
108,485909,一汽-大众,高尔夫・嘉旅,2016款 230TSI 手动 进取型,一汽大众高尔夫嘉旅天窗漏水希望厂家解决,"H90,",2020-06-19,处理反馈
109,485892,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳大灯亮度严重不足影响安全,"H82,",2020-06-18,用户评分
110,485812,上汽大众,Polo,2018款 1.5L 自动 安享型,上汽大众Polo车内异味严重无法忍受	,"H185,",2020-06-18,信息审核
111,485804,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳探岳大灯白雾影响照明,"H82,",2020-06-18,处理反馈
112,485784,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾底盘异响希望尽快处理,"G56,",2020-06-18,处理反馈
113,485768,上汽大众,朗逸,2017款 1.6L 手动 风尚版,上汽大众朗逸韩泰轮胎老化 排气管生锈,"F100,H30,",2020-06-18,信息审核
114,485756,一汽-大众,宝来,2017款 1.6L 手动 舒适型,一汽大众宝来后排座椅骨架严重生锈,"H79,",2020-06-18,处理反馈
115,485742,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸新车方向盘有破损的现象,"H168,",2020-06-18,信息审核
116,485714,一汽-大众,速腾,2015款 1.6L  自动 舒适型,一汽大众速腾轮速传感器故障希望解决,"H234,",2020-06-18,处理反馈
117,485713,上汽大众,朗逸,2013款 1.4TSI 手动 舒适版,上汽大众朗逸车内顶棚布脱落质量差,"H168,",2020-06-18,信息审核
118,485677,一汽-大众,速腾,2019款 280TSI DSG 豪华型 国VI,一汽大众速腾变速箱异响顿挫 左前轮异响,"B33,B19,G125,",2020-06-18,处理反馈
119,485655,一汽-大众,迈腾,2020款 330TSI DSG 领先型,一汽大众迈腾行驶过程中飞轮异响严重,"A9,",2020-06-18,处理反馈
120,485619,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国V,一汽大众速腾行驶中变速箱异响天窗无法关闭,"B33,H192,",2020-06-18,用户评分
121,485564,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱无法换挡4S店不予保修,"B20,B115,I297,",2020-06-18,处理反馈
122,485541,上汽大众,朗逸,2019款 280TSI DSG 豪华版 国VI,上汽大众朗逸变速箱异响 顿挫 失去动力,"B33,B19,B334,",2020-06-17,处理反馈
123,485460,上汽大众,Polo,2018款 1.5L 自动 安享型,上汽大众Polo发动机舱有异味C柱内部异响,"H185,H15,",2020-06-17,信息审核
124,485423,上汽大众,途观L,2017款 330TSI 两驱 舒适版,上汽大众途观L变速箱无法倒挡希望处理,"B20,",2020-06-17,厂家受理
125,485396,一汽-大众,宝来,2018款 1.5L 自动 时尚型,一汽大众宝来电瓶亏电厂家拒绝更换,"H146,I297,",2020-06-17,处理反馈
126,485360,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳低速行驶过程中变速箱异响,"B33,",2020-06-17,处理反馈
127,485357,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎老化有裂纹要求处理,"F100,",2020-06-17,处理反馈
128,485355,一汽-大众,速腾,2018款 280TSI 双离合 旗舰型,一汽大众速腾韩泰轮胎严重老化开裂,"F100,",2020-06-17,处理反馈
129,485351,上汽大众,途观L,2017款 380TSI 四驱 旗舰版,上汽大众途观L变速箱异响严重希望处理,"B33,",2020-06-17,信息审核
130,485326,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,上汽大众途观330L变速箱报警要求厂家召回,"B96,B115,I297,Q322,Q290,",2020-06-17,厂家受理
131,485312,上汽大众,朗逸,2015款 1.6L 自动 风尚版,上汽大众朗逸仪表盘密封性差有飞虫进入,"H168,I297,",2020-06-17,厂家受理
132,485302,上汽大众,途岳,2019款 280TSI 两驱 旗舰版 国VI,大众途岳套餐中明确使用全合成机油不兑现,"L314,",2020-06-17,信息审核
133,485292,一汽-大众,迈腾,2012款 1.8TSI 尊贵型,一汽大众迈腾发动机烧机油严重变速箱脱挡,"A63,B19,B246,I297,",2020-06-17,处理反馈
134,485289,上汽大众,桑塔纳,2016款 1.6L 手动 风尚版 三厢,上汽大众桑塔纳四条佳通轮胎出现裂纹,"F100,",2020-06-17,信息审核
135,485274,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳低速行驶时变速箱异响顿挫,"B33,B19,",2020-06-17,处理反馈
136,485247,上汽大众,朗逸,2015款 1.6L 自动 舒适版,上汽大众朗逸节温器漏防冻液要求更换,"A37,",2020-06-17,信息审核
137,485225,上汽大众,朗逸,2015款 1.6L 自动 舒适版,上汽大众朗逸下雨天右后侧车门处渗水,"H109,",2020-06-17,信息审核
138,485200,一汽-大众,高尔夫・嘉旅,2016款 230TSI 自动 进取型,一汽大众高尔夫嘉旅变速箱挂挡机构损坏,"B96,B184,I297,",2020-06-17,处理反馈
139,485187,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白内障影响驾驶,"H82,",2020-06-17,处理反馈
140,485179,一汽-大众,高尔夫,2010款 2.0TSI GTI,一汽大众高尔夫变速箱脱挡存在严重隐患,"B246,Q323,",2020-06-17,信息审核
141,485106,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎开裂希望厂家处理,"F100,",2020-06-17,厂家受理
142,485097,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机水温报警强制熄火,"A14,A191,",2020-06-17,处理反馈
143,485065,一汽-大众,高尔夫,2011款 1.4TSI 手动 舒适型,一汽大众高尔夫变速箱挂挡机构损坏,"B20,B184,",2020-06-16,处理反馈
144,485040,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国V,一汽大众速腾转向系统有异响 底盘异响,"D59,G56,",2020-06-16,用户评分
145,485030,上汽大众,朗逸,2018款 1.5L 自动 风尚版 国V,上汽大众朗逸发生事故后4S店无配件更换,"N318,",2020-06-16,信息审核
146,485024,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾三条韩泰轮胎大面积开裂,"F100,",2020-06-16,用户评分
147,485003,上汽大众,朗逸纯电,2019款 优享版,上汽大众朗逸纯电4S店出售库存车不退定金,"M283,",2020-06-16,信息审核
148,484989,上汽大众,途昂,2017款 530 V6 四驱 至尊旗舰版,上汽大众途昂前大灯进水厂家拒绝更换,"H88,I297,",2020-06-16,信息审核
149,484945,一汽-大众,宝来,2020款 1.5L 自动 时尚型,一汽大众宝来发动机启动困难希望厂家处理,"A34,A44,",2020-06-16,用户评分
150,484919,一汽-大众,速腾,2020款 200TSI DSG 舒适型 国VI,一汽大众速腾新车车身多处出现划痕,"H81,",2020-06-16,处理反馈
